AdmArea,rating_cnt,rating_area
Восточный административный округ,6,4
Западный административный округ,7,6
Северный административный округ,4,7
Северо-Восточный административный округ,5,8
Северо-Западный административный округ,9,9
Центральный административный округ,1,1
Юго-Восточный административный округ,3,2
Юго-Западный административный округ,8,5
Южный административный округ,2,3
