AdmArea,ID,Name
Восточный административный округ,4079,Зона 4079
Западный административный округ,311,Зона 0311
Северный административный округ,3215,Зона 3215
Северо-Восточный административный округ,4075,Зона 4075
Северо-Западный административный округ,4072,Зона 4072
Центральный административный округ,2108,Зона 2108
Юго-Восточный административный округ,3218,Зона 3218
Юго-Западный административный округ,4033,Зона 4033
Южный административный округ,4082,Зона 4082
