AdmArea,District,ID,Name,PlaceID,global_id,CoordinateCenters,Coordinates,geoData
Центральный административный округ,район Хамовники,301,Зона 0301,301,476888227,"(55.7391624295232,37.5835227514797)","55.731655020206205,37.55873647268766|55.73948355967551,37.57077087767052|55.743706818942115,37.58355267156815|55.74883803670636,37.60051537268766|55.74527268776802,37.600351279922975|55.74416255838521,37.60015942069781|55.73673302981212,37.5954686931942|55.73571231829842,37.59476701368731|55.731571536706355,37.558930035991644","((55.7316550202062,37.5587364726877),(55.7394835596755,37.5707708776705),(55.7437068189421,37.5835526715682),(55.7488380367064,37.6005153726877),(55.745272687768,37.600351279923),(55.7441625583852,37.6001594206978),(55.7367330298121,37.5954686931942),(55.7357123182984,37.5947670136873),(55.7315715367064,37.5589300359916))"
Центральный административный округ,район Арбат,302,Зона 0302,302,476888217,"(55.7519168357274,37.5941199556815)","55.7467479483774,37.58300044223847|55.7537566899568,37.583016604094695|55.75416086166428,37.58306508966337|55.75459100140397,37.58316196041652|55.75643634837739,37.58439518031539|55.75587970289327,37.60730034518529|55.755091163891976,37.60912854223847|55.752842958769115,37.607485252881965|55.74724225037564,37.59931438052632","((55.7467479483774,37.5830004422385),(55.7537566899568,37.5830166040947),(55.7541608616643,37.5830650896634),(55.754591001404,37.5831619604165),(55.7564363483774,37.5843951803154),(55.7558797028933,37.6073003451853),(55.755091163892,37.6091285422385),(55.7528429587691,37.607485252882),(55.7472422503756,37.5993143805263))"
Центральный административный округ,Пресненский район,303,Зона 0303,303,476888222,"(55.7590129673683,37.5723763792799)","55.74555017657281,37.535587876666135|55.75548393089807,37.537537812198515|55.77449558833752,37.58453062767634|55.76307882017143,37.60424867858909|55.75974953989461,37.60806123163484|55.75824836342402,37.60957427666613|55.756662294219865,37.60753612189665|55.75640179594997,37.60718694995594|55.74549558833752,37.535598591147824","((55.7455501765728,37.5355878766661),(55.7554839308981,37.5375378121985),(55.7744955883375,37.5845306276763),(55.7630788201714,37.6042486785891),(55.7597495398946,37.6080612316348),(55.758248363424,37.6095742766661),(55.7566622942199,37.6075361218967),(55.75640179595,37.6071869499559),(55.7454955883375,37.5355985911478))"
Центральный административный округ,Тверской район,304,Зона 0304,304,476888220,"(55.7677875180236,37.6084029971143)","55.77714071885138,37.582465701989|55.77948720033817,37.58587939297131|55.78044884840773,37.588242393776596|55.78304394376165,37.59540313891294|55.782957460648866,37.597661531617455|55.773048923872864,37.620950060352904|55.75709780598746,37.63113662486415|55.75314938034556,37.632733701989004|55.75296768554598,37.63223110214847|55.75289193757598,37.6318844124658|55.752834449381524,37.63150014803429|55.75279963541385,37.63114263682396|55.75249671312885,37.62590193968263|55.75524072661682,37.610185145307454|55.755384597595615,37.60974436845368|55.755676051705386,37.60885149222182|55.77550004791955,37.58315908135434|55.77652018746794,37.582476423317345","((55.7771407188514,37.582465701989),(55.7794872003382,37.5858793929713),(55.7804488484077,37.5882423937766),(55.7830439437616,37.5954031389129),(55.7829574606489,37.5976615316175),(55.7730489238729,37.6209500603529),(55.7570978059875,37.6311366248641),(55.7531493803456,37.632733701989),(55.752967685546,37.6322311021485),(55.752891937576,37.6318844124658),(55.7528344493815,37.6315001480343),(55.7527996354139,37.631142636824),(55.7524967131288,37.6259019396826),(55.7552407266168,37.6101851453075),(55.7553845975956,37.6097443684537),(55.7556760517054,37.6088514922218),(55.7755000479196,37.5831590813543),(55.7765201874679,37.5824764233173))"
Центральный административный округ,Мещанский район,305,Зона 0305,305,476888224,"(55.7670025075909,37.6256414827899)","55.76370802126454,37.619990667122764|55.764645058117964,37.62003260355625|55.77218353822977,37.62201752753521|55.77393689557397,37.624740774684426|55.773899643652214,37.62541115276773|55.77383611402349,37.62624151431241|55.77132422700768,37.6324499210249|55.77088868156576,37.63245566712276|55.77056599937867,37.63242804552956|55.77013850840632,37.63237078616845|55.76980686562183,37.63228146962984|55.76844062622127,37.63191069510497|55.767055458817225,37.63143618839248|55.762019603081235,37.62821353477339|55.76174977835069,37.62801070759992|55.75914979557397,37.6215643922744|55.75938226770189,37.62132103998972|55.75990953341602,37.62103706178512|55.759979405939525,37.62100198034557|55.76130346005572,37.620410636309984|55.76183656526029,37.62019581289712|55.763349396007,37.61999611079441","((55.7637080212645,37.6199906671228),(55.764645058118,37.6200326035562),(55.7721835382298,37.6220175275352),(55.773936895574,37.6247407746844),(55.7738996436522,37.6254111527677),(55.7738361140235,37.6262415143124),(55.7713242270077,37.6324499210249),(55.7708886815658,37.6324556671228),(55.7705659993787,37.6324280455296),(55.7701385084063,37.6323707861685),(55.7698068656218,37.6322814696298),(55.7684406262213,37.631910695105),(55.7670554588172,37.6314361883925),(55.7620196030812,37.6282135347734),(55.7617497783507,37.6280107075999),(55.759149795574,37.6215643922744),(55.7593822677019,37.6213210399897),(55.759909533416,37.6210370617851),(55.7599794059395,37.6210019803456),(55.7613034600557,37.62041063631),(55.7618365652603,37.6201958128971),(55.763349396007,37.6199961107944))"
Центральный административный округ,Красносельский район,306,Зона 0306,306,476888219,"(55.768606236729,37.6382283677126)","55.75985899758337,37.62877328247496|55.765017787252766,37.63025932343609|55.77217941180542,37.63252067701495|55.77499199758338,37.65096968219643|55.7748522742813,37.65149228247496|55.76938212713835,37.64595902728684|55.76864092924705,37.64488982106641|55.762017762866414,37.63380844525846|55.76007019317973,37.63044353425886","((55.7598589975834,37.628773282475),(55.7650177872528,37.6302593234361),(55.7721794118054,37.632520677015),(55.7749919975834,37.6509696821964),(55.7748522742813,37.651492282475),(55.7693821271384,37.6459590272868),(55.768640929247,37.6448898210664),(55.7620177628664,37.6338084452585),(55.7600701931797,37.6304435342589))"
Центральный административный округ,Басманный район,307,Зона 0307,307,476888226,"(55.7595702348933,37.6419250059222)","55.758758294421355,37.62909421186432|55.764465772912615,37.63869132453672|55.764569407510116,37.64010244316554|55.763165290024816,37.65420921186433|55.75455250751012,37.64773684092688|55.755557742904244,37.63356451118473|55.758174364978686,37.62988164718313|55.75831618074369,37.62968486365325|55.75845415819027,37.6294968149025","((55.7587582944214,37.6290942118643),(55.7644657729126,37.6386913245367),(55.7645694075101,37.6401024431655),(55.7631652900248,37.6542092118643),(55.7545525075101,37.6477368409269),(55.7555577429042,37.6335645111847),(55.7581743649787,37.6298816471831),(55.7583161807437,37.6296848636533),(55.7584541581903,37.6294968149025))"
Центральный административный округ,район Замоскворечье,309,Зона 0309,309,476888225,"(55.7391673874265,37.62773187438)","55.72930906582233,37.620964851607866|55.74779306582233,37.62560100372498|55.747786631009454,37.625792461295525|55.744945258946785,37.63400339401351|55.744820986623026,37.63425706019532|55.74435104419483,37.63511268025297|55.74426578292416,37.63521565664343|55.744075754856276,37.635423823970406|55.74323520742372,37.63618925160787|55.73021536899901,37.62572521962511|55.729467925265325,37.62228381509203|55.72937462047855,37.621519595388776","((55.7293090658223,37.6209648516079),(55.7477930658223,37.625601003725),(55.7477866310095,37.6257924612955),(55.7449452589468,37.6340033940135),(55.744820986623,37.6342570601953),(55.7443510441948,37.635112680253),(55.7442657829242,37.6352156566434),(55.7440757548563,37.6354238239704),(55.7432352074237,37.6361892516079),(55.730215368999,37.6257252196251),(55.7294679252653,37.622283815092),(55.7293746204786,37.6215195953888))"
Центральный административный округ,район Якиманка,310,Зона 0310,310,476888218,"(55.738122530185,37.6174726624976)","55.74068099347147,37.608622106020846|55.74090402251274,37.608638505885445|55.74100456674208,37.60865420146138|55.74147246476231,37.60876900051359|55.74458732297447,37.610399126932364|55.7451129911525,37.61089524798971|55.74559769686673,37.61150777790191|55.74387113404954,37.624903549513405|55.743140653552466,37.62498756108974|55.74272428570783,37.62502800738157|55.74249179604839,37.62504420602084|55.7338519368212,37.624356015383604|55.72999079686674,37.622412581122084|55.73008077338429,37.61573813806757|55.730113281678655,37.61464478022331","((55.7406809934715,37.6086221060208),(55.7409040225127,37.6086385058854),(55.7410045667421,37.6086542014614),(55.7414724647623,37.6087690005136),(55.7445873229745,37.6103991269324),(55.7451129911525,37.6108952479897),(55.7455976968667,37.6115077779019),(55.7438711340495,37.6249035495134),(55.7431406535525,37.6249875610897),(55.7427242857078,37.6250280073816),(55.7424917960484,37.6250442060208),(55.7338519368212,37.6243560153836),(55.7299907968667,37.6224125811221),(55.7300807733843,37.6157381380676),(55.7301132816787,37.6146447802233))"
Западный административный округ,район Дорогомилово,311,Зона 0311,311,476888221,"(55.7506334533286,37.5688241202224)","55.75258506727158,37.56234916525251|55.75272964941839,37.563269672239066|55.75278463136155,37.56390857675933|55.75281059505693,37.56473158267691|55.75277842043834,37.56597123912525|55.752492412515515,37.56778772643192|55.75239711048071,37.56837788041771|55.75211741529951,37.56944453807493|55.75109688934348,37.5716103537457|55.75076180494546,37.572032656512334|55.75047600065947,37.57230335823798|55.75015313447104,37.57254166054009|55.74945231833262,37.572915212772244|55.74920021594141,37.572996463663046|55.74844095603378,37.57311556434771|55.747786161818155,37.57316966431973|55.74721129505693,37.573169765252516|55.75248467431611,37.5624681650044","((55.7525850672716,37.5623491652525),(55.7527296494184,37.5632696722391),(55.7527846313616,37.5639085767593),(55.7528105950569,37.5647315826769),(55.7527784204383,37.5659712391252),(55.7524924125155,37.5677877264319),(55.7523971104807,37.5683778804177),(55.7521174152995,37.5694445380749),(55.7510968893435,37.5716103537457),(55.7507618049455,37.5720326565123),(55.7504760006595,37.572303358238),(55.750153134471,37.5725416605401),(55.7494523183326,37.5729152127722),(55.7492002159414,37.572996463663),(55.7484409560338,37.5731155643477),(55.7477861618182,37.5731696643197),(55.7472112950569,37.5731697652525),(55.7524846743161,37.5624681650044))"
